project_id,camera_id,camera_name,make,model,serial_number,year_purchased
2004290,2049902,NRC 187,RECONYX,PC800 PROFESSIONAL,None,
2004290,2049669,26,C1000,CUDDEBACK,None,
2004290,2050028,NCSU 15,None,None,None,
2004290,2049821,1020,BUSHNELL,None,None,
2004290,2049940,NCSU66,None,None,None,
2004290,2050002,Um 20_26,RECONYX,HC500 HYPERFIRE,None,
2004290,2049749,NRC50,RECONYX,PC800 PROFESSIONAL,None,
2004290,2049762,NCSU 50,None,None,None,
2004290,2050037,NCSU 37,None,None,None,
2004290,2078731,SWC_CAM18,,,,
2004290,2050035,NCSU FWCB 1019,BUSHNELL,None,None,
2004290,2049888,NRC 188,RECONYX,PC800 PROFESSIONAL,None,
2004290,2050044,207,RECONYX,PC900 PROFESSIONAL,None,
2004290,2049803,NCSU58,None,None,None,
2004290,2049896,NCSU 48B,None,None,None,
2004290,2049878,NCSU32,None,None,None,
2004290,2049850,NRC202,None,None,None,
2004290,2049965,NRC 176,Reconyx,RC55 RAPIDFIRE,None,
2004290,2080626,Cam 8A,,,,
2004290,2104466,Plot_14_cam,,,,
2004290,2049815,136A,Reconyx,RC55 RAPIDFIRE,None,
2004290,2049953,NCSU FWCB 1003,BUSHNELL,None,None,
2004290,2049756,NRC207,None,None,None,
2004290,2049882,NRC 172,Reconyx,RC55 RAPIDFIRE,None,
2004290,2049868,FWCB1020,BUSHNELL,None,None,
2004290,2104462,Plot_10_cam,,,,
2004290,2049863,NRC245,BUSHNELL,None,None,
2004290,2049668,39,C1000,CUDDEBACK,None,
2004290,2049657,17,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004290,2049830,H500HI12246306,RECONYX,HC500 HYPERFIRE,None,
2004290,2045693,NRC247,RECONYX,HC500 HYPERFIRE,None,
2004290,2049818,NCSU 40,None,None,None,
2004290,2049892,FW2106,Prometheus,BTC6HDPX,None,
2004290,2049964,NRC197,Reconyx,RC55 RAPIDFIRE,None,
2004290,2050045,P800FF05155094,RECONYX,PC800 PROFESSIONAL,None,
2004290,2050043,82218O,None,None,None,
2004290,2050017,NCSU 54,None,None,None,
2004290,2104459,Plot_8_cam,,,,
2004290,2050071,F1011,BUSHNELL,None,None,
2004290,2049918,FWCB1007,BUSHNELL,None,None,
2004290,2050050,NRC 154,Reconyx,RapidFire,None,
2004290,2049998,FWCB 1019,BUSHNELL,None,None,
2004290,2049859,NCSU67,None,None,None,
2004290,2049906,FWCB 1012,BUSHNELL,None,None,
2004290,2049854,WRC 08,RECONYX,PC900 PROFESSIONAL,None,
2004290,2049759,NCSU 21,None,None,None,
2004290,2045713,5,,,,
2004290,2050073,NRC 24,None,None,None,
2004290,2049908,NCSU 68,None,None,None,
2004290,2049751,NCSU1007,BUSHNELL,None,None,
2004290,2049893,MP97,RECONYX,HC500 HYPERFIRE,None,
2004290,2049839,NCSU20,None,None,None,
2004290,2049985,ncsu 34,None,None,None,
